Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
West,California,1996,Death Penalty,9.15,1
West,Colorado,1996,Death Penalty,4.71,1
Northeast,Connecticut,1996,Death Penalty,4.83,1
South,Delaware,1996,Death Penalty,4.28,1
South,Florida,1996,Death Penalty,7.48,1
South,Georgia,1996,Death Penalty,8.57,1
West,Hawaii,1996,No Death Penalty,3.38,1
West,Idaho,1996,Death Penalty,3.62,1
Midwest,Illinois,1996,Death Penalty,9.95,1
Midwest,Indiana,1996,Death Penalty,7.19,1
Midwest,Iowa,1996,No Death Penalty,1.86,1
Midwest,Kansas,1996,Death Penalty,6.61,1
South,Kentucky,1996,Death Penalty,5.87,1
South,Louisiana,1996,Death Penalty,17.51,1
Northeast,Maine,1996,No Death Penalty,2.01,1
South,Maryland,1996,Death Penalty,11.59,1
Northeast,Massachusetts,1996,No Death Penalty,2.58,1
Midwest,Michigan,1996,No Death Penalty,7.53,1
Midwest,Minnesota,1996,No Death Penalty,3.59,1
South,Mississippi,1996,Death Penalty,11.08,1
Midwest,Missouri,1996,Death Penalty,8.08,1
West,Montana,1996,Death Penalty,3.87,1
Midwest,Nebraska,1996,Death Penalty,2.91,1
West,Nevada,1996,Death Penalty,13.72,1
Northeast,New Hampshire,1996,Death Penalty,1.72,1
Northeast,New Jersey,1996,Death Penalty,4.23,1
West,New Mexico,1996,Death Penalty,11.5,1
Northeast,New York,1996,Death Penalty,7.44,1
South,North Carolina,1996,Death Penalty,8.45,1
Midwest,North Dakota,1996,No Death Penalty,2.17,1
Midwest,Ohio,1996,Death Penalty,4.82,1
South,Oklahoma,1996,Death Penalty,6.76,1
West,Oregon,1996,Death Penalty,4.03,1
Northeast,Pennsylvania,1996,Death Penalty,5.69,1
Northeast,Rhode Island,1996,No Death Penalty,2.53,1
South,South Carolina,1996,Death Penalty,8.98,1
Midwest,South Dakota,1996,Death Penalty,1.23,1
South,Tennessee,1996,Death Penalty,9.45,1
South,Texas,1996,Death Penalty,7.72,1
West,Utah,1996,Death Penalty,3.15,1
Northeast,Vermont,1996,No Death Penalty,1.87,1
South,Virginia,1996,Death Penalty,7.49,1
West,Washington,1996,Death Penalty,4.61,1
South,West Virginia,1996,No Death Penalty,3.78,1
Midwest,Wisconsin,1996,No Death Penalty,3.95,1
West,Wyoming,1996,Death Penalty,3.33,1
Midwest,x-Midwest,1996,Region,6.4,1
Northeast,x-Northeast,1996,Region,5.4,1
South,x-South,1996,Region,9,1
United States,x-United States,1996,Region,7.4,1
West,x-West,1996,Region,7.7,1
South,Alabama,1997,Death Penalty,9.86,1
West,Alaska,1997,No Death Penalty,8.87,1
West,Arizona,1997,Death Penalty,8.23,1
South,Arkansas,1997,Death Penalty,9.91,1
West,California,1997,Death Penalty,7.99,1
West,Colorado,1997,Death Penalty,4.03,1
Northeast,Connecticut,1997,Death Penalty,3.79,1
South,Delaware,1997,Death Penalty,3.01,1
South,Florida,1997,Death Penalty,6.91,1
South,Georgia,1997,Death Penalty,7.52,1
West,Hawaii,1997,No Death Penalty,3.96,1
West,Idaho,1997,Death Penalty,3.22,1
