Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
West,Alaska,1995,No Death Penalty,9.11,1
West,Arizona,1995,Death Penalty,10.41,1
South,Arkansas,1995,Death Penalty,10.43,1
West,California,1995,Death Penalty,11.18,1
West,Colorado,1995,Death Penalty,5.76,1
Northeast,Connecticut,1995,Death Penalty,4.58,1
South,Delaware,1995,Death Penalty,3.49,1
South,Florida,1995,Death Penalty,7.32,1
South,Georgia,1995,Death Penalty,9.48,1
West,Hawaii,1995,No Death Penalty,4.72,1
West,Idaho,1995,Death Penalty,4.13,1
Midwest,Illinois,1995,Death Penalty,10.32,1
Midwest,Indiana,1995,Death Penalty,8.03,1
Midwest,Iowa,1995,No Death Penalty,1.79,1
Midwest,Kansas,1995,Death Penalty,6.2,1
South,Kentucky,1995,Death Penalty,7.15,1
South,Louisiana,1995,Death Penalty,17.04,1
Northeast,Maine,1995,No Death Penalty,2.01,1
South,Maryland,1995,Death Penalty,11.82,1
Northeast,Massachusetts,1995,No Death Penalty,3.57,1
Midwest,Michigan,1995,No Death Penalty,8.46,1
Midwest,Minnesota,1995,No Death Penalty,3.95,1
South,Mississippi,1995,Death Penalty,12.9,1
Midwest,Missouri,1995,Death Penalty,8.81,1
West,Montana,1995,Death Penalty,4.02,1
Midwest,Nebraska,1995,Death Penalty,2.93,1
West,Nevada,1995,Death Penalty,10.65,1
Northeast,New Hampshire,1995,Death Penalty,1.83,1
Northeast,New Jersey,1995,Death Penalty,5.15,1
West,New Mexico,1995,Death Penalty,8.78,1
Northeast,New York,1995,Death Penalty,8.55,1
South,North Carolina,1995,Death Penalty,9.41,1
Midwest,North Dakota,1995,No Death Penalty,0.94,1
Midwest,Ohio,1995,Death Penalty,5.38,1
South,Oklahoma,1995,Death Penalty,12.2,1
West,Oregon,1995,Death Penalty,4.11,1
Northeast,Pennsylvania,1995,Death Penalty,6.25,1
Northeast,Rhode Island,1995,No Death Penalty,3.33,1
South,South Carolina,1995,Death Penalty,7.95,1
Midwest,South Dakota,1995,Death Penalty,1.78,1
South,Tennessee,1995,Death Penalty,10.6,1
South,Texas,1995,Death Penalty,9.04,1
West,Utah,1995,Death Penalty,3.9,1
Northeast,Vermont,1995,No Death Penalty,2.22,1
South,Virginia,1995,Death Penalty,7.6,1
West,Washington,1995,Death Penalty,5.06,1
South,West Virginia,1995,No Death Penalty,4.87,1
Midwest,Wisconsin,1995,No Death Penalty,4.27,1
West,Wyoming,1995,Death Penalty,2.08,1
Midwest,x-Midwest,1995,Region,6.9,1
Northeast,x-Northeast,1995,Region,6.2,1
South,x-South,1995,Region,9.8,1
United States,x-United States,1995,Region,8.2,1
West,x-West,1995,Region,9,1
South,Alabama,1996,Death Penalty,10.39,1
West,Alaska,1996,No Death Penalty,7.41,1
West,Arizona,1996,Death Penalty,8.51,1
South,Arkansas,1996,Death Penalty,8.73,1
